Epoch,Loss
1,2266.3639678875334
2,1740.0174978906289
3,1257.0189307630062
4,938.7769051976502
5,770.380390626844
6,648.7028507632203
7,562.6765678615775
8,487.50739665539004
9,441.22834718739614
10,386.94416697509587
11,343.2217530964408
12,309.32892488944344
13,277.6699582521105
14,252.27302727638744
15,228.8117371806875
16,208.88429514260497
17,191.07037130376557
18,176.61386665253667
19,164.09686419047648
20,154.4783464994689
21,145.32517873503093
22,136.67487114779942
23,129.48923533155175
24,122.98751789671223
25,116.65854029239927
26,112.28832344038892
27,106.94540584609058
28,101.96345798251423
29,97.34234925708915
30,93.65785987954587
