Epoch,Loss
1,1581.5703842639923
2,1214.4663063585758
3,1196.4948194026947
4,1186.432089149952
5,1180.7685363292694
6,1177.6400457918644
7,1175.8112647533417
8,1174.6728990375996
9,1173.920658916235
10,1173.392744243145
11,1172.9985652267933
12,1172.6856350004673
13,1172.4230233728886
14,1172.1921314895153
15,1171.981765717268
16,1171.785133868456
17,1171.5981537103653
18,1171.4182219803333
19,1171.2439333498478
20,1171.0741814672947
21,1170.9084058701992
22,1170.7460645139217
23,1170.5870022773743
24,1170.4310930371284
25,1170.277896553278
26,1170.1277549564838
27,1169.979907810688
28,1169.8348224759102
29,1169.692293047905
30,1169.5522140860558
