Epoch,Loss
1,1157.85
2,914.07
3,727.33
4,623.13
5,506.66
6,452.66
7,343.6
8,261.29
9,201.86
10,145.06
11,134.16
12,89.48
13,67.02
14,54.13
15,56.74
16,46.16
17,27.09
18,16.44
19,24.37
20,11.89
21,15.61
22,12.94
23,9.97
